original_title,count
De vigtigste indenlandske Tildragelser og de mærkeligste Personers Levnetsbeskrivelser,24
Haandbog for den læsende Ungdom,22
De mærkeligste Personers Levnetsbeskrivelse og de vigtigste Tildragelser igjennem alle Tidsaldere,17
Nye Kogebog,15
Videnskabelig Fortegnelse over Provindsialbogsamlingen i Mariboe,14
Veiledning til Hovedregning eller mental Regnekunst,14
Bibelske Fortællinger med Anvendelse paa Religion og Sædelære,13
Underviisning i Religionen for Ungdommen,12
Naturhistorie,12
Thonboes Læsebog,12
Penelope,11
Cramers Regnebog,11
Schous Udtog af Forordninger,10
Heste og Qvæglæge Tabel,10
Digte,10
Blichers Visdoms og Dyds Tabel,10
Frierens Besøg,9
De Franskes Keiser Napoleons Levnet,9
Lov og Rets Tabel for Danske Bønder,9
Bidrag til Tidshistorien,9
Nordlyset,9
Haandbog for læsende Ungdom,9
Orphea,9
Lærebog i den Evangelisk christelige Religion,8
Minerva,8
Urania,8
Anviisning til at inddeele og dyrke en uskiftet Bondegaards Lod paa sandede og lerede Jorder,8
Dansk Børneven,8
Om Dyrkningsmaaden af Asparges,8
Forstandsøvelser til Brug ved Underviisningen i Almueskoler,8
Forsøg til en kristelig Børnelærdom,8
Læsefrugter,7
Poetiske Forsøg,7
Kort Anviisning for den hæderlige Bondestand til Vinteraftenernes fornuftige Anvendelse,7
Bibelhistorie,7
Dyrkningsmaaden af Asparges,7
Beckers Taschenbuch,7
Fruentimmerhaderen,7
Kong Salomon og Jørgen Hattemager,7
Prædikener,6
Om Humles Anlæg og Behandling,6
Forsøg til en kristelig Bornelærdom,6
Cornelia,6
Den Uforklarlige,6
Recensenten og Dyret,6
Kingos Salmebøger,6
Birchs Bibelhistorier,6
Anviisning til Jorddyrkning og Qvægavl,6
Psalmebøger,6
Kirkelige Leilighedstaler,6
Vers,6
Napoleons Levnet,6
Justs Naturhistorie,6
"Den lystige Lollænder eller nyeste Samling af moersomme Anecdoter, latterlige Tildragelser, skjemtsomme Jndfald, sindrige Fortællinger og vittige Svar",6
Stærkodder,5
Fædrelandet,5
Prædikener og Leilighedstaler,5
Frauentaschenbuch,5
Den mindre Regnebog,5
Variationer for Violin,5
Læsebog og Exempelsamling til Brug i Landsbyeskoler,5
Exempelsamling til Brug ved Religionsunderviisningen for Ungdommen,5
Katekismer,5
Erik Menveds Barndom,5
Wilstrups 2den Læsebog,5
Misforstaaelse paa Misforstaaelse,5
Min Haandbog for læsende Ungdom,5
Luthers liden Catechismus,5
Udvikling af den christelige Religions Troeslærdomme,5
Religionen efter Fornuft og Bibel i deres Overeensstemmelse,5
Læsefrugterne,5
Aurora,5
Fortjenester af Kongehuus og Fædreneland,5
Lütkens Læsebog for Almueskoler,5
De Danske i Paris,5
Festprædikener,4
Christelig Huuspostil,4
Røverne,4
Cornelig,4
Meyers Universum,4
Kort Anviisning til Tobaksplantning,4
Napoleons Liv og Levnet,4
"Lovise, eller De ulykkelige Følger af Letsindighed",4
Æneide,4
Freias Alter,4
"Bibelske Fortællinger, med Anvendelse paa Religion og Moral",4
Løsagtighed er ingen Synd,4
Tvende Prædikener,4
Kortfattet Underviisning i Agerdyrkning,4
Bønnen som læses ved Ungdommens Confirmation,4
Vilstrups anden Læsebog for Almueskoler,4
Marsk Stig,4
"Blomstersproget, eller Blomsternes Betydning paa østerlandsk Viis",4
Elverhøi,4
Fortællinger,4
Erindringer,4
Taschenbuch zum geselligen Vergnigen,4
"Taschenbuch, der Liebe und Freundschaft gewidmet",4
Grundtvigs Prædikener,4
Taschenbuch zum geselligen Vergnugen,4
Birchs Bibelhistorie,4
Bemærkninger over Alheden og dens Colonier,4
Medgift for hele Livet,4
"Naturen, Mennesket og Borgeren",4
"Farinelli, Lystspil i 3 Acter",4
Pastor Seerups Prædikener,4
Lærebøger,4
Ørsteds Supplement,4
Geographie for Ungdommen,4
Festdagen,4
Kogebog,4
Andagtsbog for Skolebørn,4
"Læsefrugter, samlede paa Literaturens Mark",4
Spørgsmaale til Børn,4
Don Juan,4
Den første Kjærlighed,4
Trende Religionstaler,4
Fattigreglementerne,4
Schous Udtog af Forordningerne,4
"Oversigt over de Skatter, Byrder og Paalæg",4
Styrmandsbog,3
Vor Herres og Frelsers Jesu Christi Levnetshistorie,3
"Vennernes Fest, eller: Testamentet",3
Anviisning eller Cifferbog,3
"Læsefrugter, samlede paa Litteraturens Mark",3
"Tjenestekarlen, som han bør være, eller Veiledning for unge Bønderkarle til troligen at opfylde deres Pligter og forskaffe sig deres Husbonders Agtelse og Tillid",3
Verdenshistorie,3
danske Værker,3
Birchs Udtog af bibelske Historier,3
bibelske Fortællinger,3
danske og norske Lov,3
Nyeaarsgave for 1797,3
Hofnarren imod sin Villie,3
Christelig Høitids-Glæde,3
Alf og Alvilde,3
Nørgaards System,3
Juridisk Tidsskrift,3
de nye Reiser,3
Tydsk Sproglære for Danske,3
Behrmanns Tabeller over Historien,3
Mansas Haugebog,3
Præsten i Wakefield,3
Fader Roderik blandt sine Børn,3
Nogle Frugter af mit Otiumsom Olding og forhenværende Embedsmand,3
Sagaer om Danmark,3
Bibliothek for Læger,3
Brandskatten,3
"Danmarks Befrielse, eller: Niels Ebbesen",3
Etatsraad Lauritz Kjellerups Minde,3
Vielliebchen,3
Digtninger,3
"Brorsons Fortolkning over Lovens 1ste, 3die og 5te Bog",3
Theologisk Maanedsskrift,3
Kateketisk Magasin,3
Anmærkninger til Anordningerne angaaende Almueskolevæsenet i Danmark,3
Kong Harald og Ansgar,3
"Prædikener, holdne i Viborg Domkirke i Aarene 1831 og 1832",3
Fortegnelse. Underrets= og Prøve=Prokuratorerne i det egentlige Danmark til Udgangen af 1831,3
Aalborg Marked,3
Svend Poulsen,3
Thonboes bibelske Historie,3
Tre Maaneder efter Brylluppet,3
Rørdrummen,3
Den retskafne og gudfrygtige Bonde,3
Birchs Læsebog,3
Luthers Catechismus,3
Klosterets og senere Biørnholms Markeds Historie,3
Den belgiske Revolution,3
Familiebibel,3
Scapins Skalkestykker,3
Julegave for Børn,3
Munthes Fædrenelandshistorie,3
"Tro, Haab og Kjærlighed",3
Gamle og nye Noveller,3
Skrifter,3
Bibelen,3
Abbe Mozins franske ABC,3
Chemiske Breve,3
"Kludesamleren, ell. Den natlige Philosoph",3
"Min Vandel, min Skjebne og Aarsagerne til samme",3
Fleischers Naturhistorie,3
Virtuosen No. 2,3
Forklaring over Pauli første Brev til de Corinthier,3
Haandbog for Præster,3
"Den anden April, en Sang",3
Hovmesteren i Knibe,3
Dyrlægebog,3
Kirkens Band,3
Debutantindens Fader,3
Ærlighed varer længst,3
Wilstrups Læsebog for Almueskoler,3
De preussiske Provindsialstænders Historie i korte Træk,3
Fuldstændigt Aftryk af den indbyrdes Underviisningsmethodes nye Tabeller,3
"De vigtigste indenlandske Tildragelser og de mærkeligste Personers Levnetsbeskrivelser, fra de ældste Tider til vore Dage",3
Forandringen i vort Pengevæsen,3
Poesier,3
Tidsskrift for Landoeconomie,3
Mindeskrift,3
Almeennyttig Lommebog,3
Geographisk og historisk Læsebog for Landsbyeskolerne,3
Evangeliske Palmebog,3
Peder Greve af Griffenfeldts Fortjenester,3
Forsoningen,3
Læsefrugter samlede paa Litteraturens Mark,3
Vink af Grækernes Historie,3
Den lille Ordbog,3
Brevbog for Ungdommen,3
Samling af Arier og Smaadigte,3
Maskeraden,3
Nørregaards Danske Lovkyndigheds System,3
Stampes Erklæringer,3
En Hytte og hans Hjerte,3
Skytten paa Aunsbjerg,3
Viinhandlerens,3
Almanach dramatischer Spiele,3
Kort Jordbeskrivelse især til Brug i Almueskolerne,3
"Den unge hidsige Mand, eller: Raad til de unge Koner",3
Mules Verdenshistorie,3
Daglig Lommebog for Aaret 1821,3
Lindbergs Seir,3
Tidsskrift for Almueskolevæsenet,3
Om de preussiske Provindsialstænders Væsen,3
Fiskerne,3
Samling af Historiske Efterretninger om Danske Søe-Officierer i alphabetisk Orden,3
Fortegnelse over de endnu brugelige Dandse og tillige Detailen af Tourerne,3
Dydens Vei,3
Forstandsovelser til Brug ved Underviisningen i Almueskoler,3
"Nytaarsgave for Haveelskere 1824, eller Sanderumgaards Have",3
Birchs Dito Dito,3
"Kunstnerliv, eller: Den Ene Arbeidet, den Anden Lønnen",3
Samling af Fædrelandssange,3
Noget om Tienestefolk,3
Fremmedordbog for Hvermand,3
Chrestomathia Ciceroniana,3
Hemmelige Efterretninger og Satans Hof,2
Haandbog i det danske Forligelsesvæsen,2
De vigtigste historiske Personer og Begivenheder fra Reformations- til Revolutionstiden,2
Udkast til en Alterbog og et Kirke=Ritual for Danmark,2
Norgesreisen,2
Dragedukken,2
"De to Antoner, eller: Den dumme Gartner",2
J en Stambog,2
Almeenfattelig Forklaring over Klasselotteriets nuværende Indretning,2
Lystspil,2
"Rataplan, den lille Tambour",2
Melisse,2
Sonnes Forskrivter,2
Æblet,2
practisk Landmaaler,2
Saint Didier og Adelhalde,2
Selskabsbog,2
"Uglspilstreger og et godt Hjerte, eller: Pudsenmageren",2
Mathias Winthers Levnet og Hændelser,2
"Edmund, en Riddertildragelse",2
"Forsøg til Besvarelse af det Spørgsmaal: Gives der Midler til at forbedre Landmandens Kaar, og hvilke ere disse?",2
Hundesygen,2
Kjøge Huuskors,2
"Præstens Gierning, Sorger og Glæder",2
Kirkens Historie gjennem de tre første Aarhundreder,2
Nytaarsønsker,2
Henrich den Femtes Ungdom,2
Peter der Groste und seine Zeit,2
Taschenbuch der Liebe und Freundschaft gewidmet,2
Astronomen med Stjernekaarter og Afbildning af Solsystemmet,2
Breve til en Ven,2
H. J. Birchs bibelske Historie i et kort Udtog,2
Daglig Lommebog for Aaret 1823,2
Rottecks almindelige Verdenshistorie,2
Advarsel mod Demagogernes bedragerske Forestillinger,2
"Prædikener, holdne i Viborg Domkirke i Aaret 1829",2
Epigrammet,2
Eidora,2
"Muldvarpejægeren, eller Kunsten at fange Muldvarpe paa en tilforladelig, ganske sikker og morende Maade i Haver og paa Enge",2
"Danmarks Handel, Skibsfart, Penge- og Finantsvæsen, fra 1730 til 1830",2
"Troldqvinden, Sidonia",2
Supplement til Blomstergartneren,2
Den lille Matros,2
Das Donauweibchen,2
Buster,2
Dronning Margrethe,2
Om liturgisk Frihed,2
Bogen mod Løsagtighed,2
Min Naturhistorie om Dyrene,2
Klosterets eller Aale- og senere Biørnsholms Birks Historie med Optegnelse paa dets Birkefogder og Skrivere,2
Opbyggelige Betragtninger for Syge,2
Troen kjendes paa sin Frugt,2
Den pantsatte Bondedreng,2
Geographie,2
De to Brødre eller Forsoningen,2
Qvækerne,2
Hvaddevillerne eller Komedie=Sjouernes Jubilæum,2
Forsøg til en Haandbog for den danske Landmand,2
Christendommens Aand i Henseende til Trøsi Lidelser,2
Præsidentens Døttre,2
Jliade,2
Fransk Lexicon,2
"Juliette, eller det hemmelige Ægteskab",2
Holbergs samtlige Værker,2
Støtten ved Frederiks Kilde,2
"Nye Samling af Prædikener, tilligemed nogle Casualtaler",2
Efteraarserindringer fra en Sommerreise i Sverrig,2
Almanakker for 1821,2
Slaget ved Waterlod,2
"Dyder og Penge, eller: Testamentet",2
Serenade for Bratsch og Violin,2
"Lov og Ret for Herremænd og Bønder, eller: Fuldstændig Fremstilling af Landmandens Rettigheder, og Pligter",2
Finale,2
Sange for 4 Mandstemmer,2
Bemærkninger angaaende Tiendevæsenet i Danmark,2
Ronde,2
Prædiken paa Nytaarsdag 1837,2
Ordinationstaler,2
Horatius,2
Slaget ved Waterloo,2
Samling af Brodeermynstre,2
Visebog for Lolland og Falster,2
Stunden der Andacht,2
Urverdenen eller Beviis for ædle Verdeners Tilværelse og Undergang,2
Dobbeltgængeren,2
Jens Baggesens danske Værker,2
Lift og Phlegma,2
Bidrag til Kundskab om de danske Provindsers nærværende Tilstand i oclonomisk Henseende,2
Religions Blad,2
Huusbog for den christelige Livsviisdom,2
Jesu Liv,2
Om Hundesygen,2
Nyeste fransk Grammatik,2
Mindetaler over vor Frelser Jesus Christus,2
Christus hos Aanderne i Forvaringen,2
Søerøveren,2
"Klosterets Jordebog, eller Optegnelse paa dets Jordeiendomme og Kirker",2
Kjærminder,2
Christnes Haab under de nærværende Christenforfølgelser,2
Justs Haandbog for læsende Ungdom,2
Trækfuglene,2
Balles Lærebog,2
Bidrag til Kundskab om de danske Provindsers nærværende Tilstand i ockonomisk Henseende,2
Maanedsblomster,2
Bedsteforældrene,2
Nyt juridisk Arkiv,2
Kong Christian den Femtes danske Lov,2
Listige Paasund af Smuglere,2
Den lille Rødhætte,2
Om den danske Geistligheds nærværende kirkelige og borgerlige Vilkaar og Forslag til Forandringer heri,2
Aarsagerne til Landmandens nærværende Forfatning,2
Albertus Julius,2
Danske Markblomster,2
Krigssang,2
Nøget om Tienestefolk,2
Sange for de nordiske Krigere,2
Psalmeboger til Confirmationen,2
Kjærligheds Drømme,2
Kieldsens Ariebog,2
Emilies Hjertebanken,2
Blomsterkurven,2
De første Grunde af den latinske Syntaris,2
Værker,2
Sommerreise i Sverrig Aar 1836,2
Samlinger for Venner af Naturen og Haugekonsten,2
Noget om Handelen med stempelpligtige og indenlandske Manufakturvarer,2
Kjerligheds Gaaderne,2
"Elegie, Adagio appassionato for Violin",2
Hyrdedrengen,2
Kjærligheds-Gaaderne,2
Almanach de Gotha,2
Vergismeinnicht,2
"Haandbog for dem, der ei ere Hestelæger",2
den nyeste Bondepraktika,2
Kjerligheds-Gaaderne,2
Chymisk Dictonnaire,2
Meyer's Universum,2
Kortpasning,2
Andet Forsøg til sand Christendoms Bestyrkelse mod Tvivl og Vildfarelser,2
Gothaischer Kalender,2
Dyder og Udyder i Exempler af Bibelen,2
Aram,2
"Formularhaandbog til de vigtigste Kontrakter, Adkomstdokumenter og Gjeldsbreve",2
Primons Lexikon over de fremmede Ord og Udtryk,2
Poetisk Læsebog for Børn og barnlige Sjæle,2
Anmærkninger til Tingsretten,2
Pennelope,2
Geometrie og Mekanik for Kunstnere og Haandværkere,2
Haandbog for Handlende og Toldofficianter,2
Holbergs Komedier,2
Irreparabile tempus,2
Formularbog,2
Fuldstændigt Aftryk af den indbyrdes Underviisningsmethodes Tabeller,2
Kludesamleren eller den natlige Philosoph,2
Carl Bernhards Noveller,2
Frieren og hans Ven,2
Erindringsbogen i Tankefuldshytten,2
Kean,2
Jacobsens nye Kogebog,2
Grevskabet Skovgaarde,2
Populært Foredrag over Astronomien,2
Gode Raad,2
Oekonomiske Skrifter,2
Dagbog,2
Krigens Rædsler,2
Agerkaalen eller de forbyttede Paraplyer,2
Abe og Læsebog,2
Pastor Holms Underviisning i Religionen,2
Eventyr af forskjellige Digtere,2
Bomares Naturhistorie,2
Efterretning om nogle af Fyens Stifts Legater og offentlige Stiftelser,2
Qvaksalverne eller de franske Soldater,2
Helliget Sandhed og Retfærdighed,2
"Fiskeren, dramatisk Eventyr",2
Friderichsberg,2
Kanariefuglen,2
Huge v. Reinberg,2
Røverborgen,2
Myrther,2
Signe,2
Glædens Kilde,2
Ludlamshule,2
Helge,2
Avertissement for den Steenfeldtske Familie,2
"Dagbog fra det 16, 17 og 18de Aarhundrede",2
den danske og norske private Rets første Grunde,2
Minde-Sang,2
Jacobsens Kogebog,2
"Lov, og Rets Tabel for Danske Bønder",2
Haandbog for Kjøbstædernes Communalbestyrelser,2
Forordningerne,2
Chemien anvendt paa Kunster og Næringsdrift,2
Doctoren imod sin Villie,2
Mikkels Kjærlighedshistorier i Paris,2
Jesu Levnet,2
almeennyttige Haandbog forden læsende Ungdom,2
Ungdomsvandringer i mit Fødeland,2
Anviisning til et velindrettet Landbrug for Bondestanden,2
Den lille Hyrdedreng,2
Ude og hjemme,2
Fibel eller Bogstav- og Stave-Tabel,2
Christendommens Aand i Henseende til Trøst i Lidelser,2
Fortællinger for Børn,2
Veiledning til en fordeelagtig Høravl,2
Haandbog for Frimurere og Frimurerinder,2
"Sommerfuglene, en Samling originale Smaafortællinger",2
Magazin for Ungdommen,2
Nyttige Breve for Menigmand,2
Anviisning til Kultørvs Brændning i Miler,2
Ceres,2
allerældste Poesier,2
Vestalinden,2
Den Lykkelige,2
Undskyldningen,2
Overraskelsen,2
Luthers Postille,2
Thaers Værk over Landvæsenet,2
Et ungt Ægtepars Huusholdning,2
Dieterichs Dyrlægebog,2
Bonden paa Komedie,2
Algebra,2
Sneelillier,2
Hvilken er den Rette,2
Vilstrups anden Læsebog,2
bemærkninger over Alheden og dens Colonier,2
Majoren og Frøkenen,2
"Lov og Ret for Herremænd og Bønder, eller fuldstændig Fremstilling af Landmandens Rettigheder og Pligter",2
Arvingerne,2
Samleren,2
Carnevals=Almanak,2
Haandbog for Sogneforstanderskaber og Amtsraad i Danmark,2
Vinterblomster,2
Repertorium for aandelige Sager,2
Jagtgildet,2
Fostbrødrene,2
Eriminalprocessen,2
