input,output,parsed
"Løier Et Brev paa Vers til Joh. Nordahl Bruun, Af Niels Tønder Lund Gunnerus, Kbh. 1807 1 Mk. 4 s. Foraaret, af James Thomson, oversat af PeterFoersom, kongelig Skuespiller, 2 Mk. 12 s.","""original_title: Løier Et Brev paa Vers til Joh. Nordahl Bruun""
""translated_title: Fun A Letter in Verse to Joh. Nordahl Bruun""
""author: Niels Tønder Lund Gunnerus""

""original_title: Foraaret""
""translated_title: Spring""
""author: James Thomson""",[]
"Bekjendtgjørelser. Jndbydelse. Da udenlandske Tidender og Tidsskrivter i den senere Tid ere stegne til det dobbelte, er det for nærværende Tid næsten en Umuelighed for enkelt Mand, der har Lyst til at see sig om i Litteraturens, Videnskabernes og Kunsternes Riger, at tilfredsstille sin Videlyst.","original_title: NO_BOOK
translated_title: NO_BOOK
author: NO_BOOK","[('no_book', 'no_book')]"
"Bekjendtgjørelser. Gudstjenesten begynder 2den Søndag efter H. tre R. 14 Jan. dennes Kl. 10 i Mariboe, til Taksigelse for Freden med Sverrig; i Hillested Kl. 12 1/2 s. Dag Provinsial-Bogsamlingen.","original_title: NO_BOOK
translated_title: NO_BOOK
author: NO_BOOK","[('no_book', 'no_book')]"
Disse sande skjulte Menneskevenner takkes paa det inderligste af C. F. Schultz.,"original_title: NO_BOOK
translated_title: NO_BOOK
author: NO_BOOK","[('no_book', 'no_book')]"
"Tanker i Anledning af Skrivelsen fra Falster, de dyre Tider angaaende, kunde af Mangel paa Plads ikke blive indrykket i dette. No.","original_title: NO_BOOK
translated_title: NO_BOOK
author: NO_BOOK","[('no_book', 'no_book')]"
"Disse Gavers Værd er endnu meer forhøiet derved, at vor berømmelige Malling har ved sit Navns Underskrivt i ethvert af disse Værker bevidnet, at de ere Stiftelsen forærede.","original_title: NO_BOOK
translated_title: NO_BOOK
author: NO_BOOK","[('no_book', 'no_book')]"
Oberst og Ridder v. Brun indsendende Af- og Tilgangslister. Afregnings-Bog for Cavallerie og Jnfanterie.,"original_title: NO_BOOK
translated_title: NO_BOOK
author: NO_BOOK","[('no_book', 'no_book')]"
"Kjøbenhavn den 6te Junii 1811. Joh. David Vogel. Paa Addresse-Contoiret i Mariboe bliver med det første ved offentlig Faldbydelse bortsolgt endeel gode og vel conditionerede Bøger i adskillige Sprog og Videnskaber. Saavel Tiden naar, samt hvor trykte Fortegnelser over samme kan bekommes, skal nærmere blive bekjendtgjort.","original_title: NO_BOOK
translated_title: NO_BOOK
author: NO_BOOK","[('no_book', 'no_book')]"
"C. Kølle. Da jeg hverken kan begynde eller endnu mindre fuldende Provindsialbogsamlingens Revision førend alle de udlaante Bøger ere indleverede til Stiftelsen, saa anmodes nok engang alle og enhver, der ikke endnu have afsendt deres Bøger, at indfinde dem med samme, da de i manglende Fald maae herefter vente, at blive udelukkede fra Deeltagelse i Stiftelsen, som den engang vedtagne og fastsatte OrdenForstyrrere. Mariboe den 22de August 1811. C. F. Schulz.","original_title: NO_BOOK
translated_title: NO_BOOK
author: NO_BOOK","[('no_book', 'no_book')]"
Gaver. (Fortsættelse af forrige No. Hans Bøssemager . 3 Rd. Skolelærer Hansen. Niels Møller. 4 Mk. 4 s. Peder Smed = = Knud Michelsen. . . Anders Rasmussen. Summa 116 Rd. 1 Mk. 12 s. Hr. Thorsen til Assestrup. 10 Rd. Sognef. H. Thorsen i Harpelunde 3 Præst Petersen i Sandbye. Kirkesanger Høvinghoff. Erichsen. Sandbye Sogns Beboere 40 3 8 (hvoraf Rasmus Christensen i Taars 5 Rd.) (Sluttet.),"original_title: NO_BOOK
translated_title: NO_BOOK
author: NO_BOOK","[('no_book', 'no_book')]"
