,article_id,date,embedding,n_chunks_orig,clean_category,nøgle,text,category,article_length,characters,embedding_shape,newspaper,label_type,book_announce,comment,predicted_book_announce
167450,aal_082394,1831-02-17,"[ 0.02024729 -0.01817579 -0.01974312 ... -0.01565818 -0.03212276
  0.00113313]",1,Bekjendtgjørelser,1831-02-17_32154,"Følgende nye Skrifter faaes hos Undertegnede: Maanedsskrift for Christendom og Historie, udgivet af J. Ch. Lindberg, 1 B. 3 H., 3 Mk., eller 3 Hefter 9 Mk. Subskription modtages. - Politiske Betragtninger med Blik paa Danmark og Holsteen, af Grundtvig, 2det uforandrede Oplag. 2 Mk. - Om Magnettens Forhold til sine Poler, af Aschlund. 24 s. - Reise- og Skrivecalender. 36 s. - Almanaker for 1831. 10 s. Rottbøll Sadolin.",Bekjendtgjørelser,70,421,[1024],aal,predicted,unknown,,y
121054,aal_035967,1823-10-20,"[-0.0142881   0.0020631  -0.0142967  ... -0.02767922 -0.04361128
  0.01408006]",1,Bekjendtgjørelser,43392,"Undertegnede ønsker sig nogle flere Pigebørn i Haandarbeide og Tegning, om forlanges i Tydsk og Fransk. M. Starcke.",Directionen.,18,115,[1024],aal,predicted,unknown,,y
132985,aal_047898,1825-07-27,"[ 0.04205241  0.00463628 -0.01050871 ... -0.02262465 -0.05464539
  0.00685447]",1,Bekjendtgjørelser,58260,"Stoltzer og Eidammer Oste, fransk Viinæddike, fint Riismeel, Lyneborger Salt, Punsch-Essents, god stærk Rum, friske Citroner, hamborger Hvedemeel, engelsk Fajance og bohmiske Glasvare m. m. m., faaes til billige Priser hos Rybsahm. Schous Udtog af Forordninger for 1824, heftet 72 s. faaes Rottbøll Sadolin, hos Boghandler og Bogbinder. Almanakker for Aaret 1826 a 100de 9 Rbd. 4 Mk., faaes hos Rottbøll Sadolin.",Skuespil.,62,412,[1024],aal,predicted,unknown,,y
112946,aal_027857,1822-07-11,"[ 0.0306006   0.0145621  -0.01492688 ... -0.0227292  -0.05365864
  0.00654497]",1,Bekjendtgjørelser,33281,"Homers Jllade 3die og 4de Sang, v. Meisling og Petersen. Kbhvn. 1810. loctatis Fanegyricus c. Mori. Lipa. 1804.",Kiøbenhavn.,18,111,[1024],aal,predicted,unknown,,y
203150,aal_118167,1837-01-05,"[ 0.02864456  0.00438931 -0.0119308  ... -0.01202753 -0.04075683
 -0.01602713]",1,Bekjendtgjørelser,1837-01-05_82835,"udgivet af J. Chr. Borch & A. p. Uers Enke. - Redigeret af Capitain v. Baderberg, Pd. af D.",Titelblad,19,91,[1024],aal,predicted,unknown,,y
217113,aal_132163,1839-04-12,"[ 0.03769637 -0.00209533 -0.00661816 ... -0.01572075 -0.04747211
 -0.01608997]",1,Bekjendtgjørelser,1839-04-12_100899,Udgiverne af denne Avis Hr. Borch og Rees Enke indføre stedse uden Betaling alle Anmeldelser og Bekjendtgjørelser Bibliotheket vedkommende.,Bekjendtgjörelser,19,139,[1024],aal,predicted,unknown,,y
222670,aal_137732,1840-03-05,"[-0.00701423  0.00144519 -0.00875411 ... -0.01681286 -0.04388086
  0.00183741]",1,Bekjendtgjørelser,1840-03-05_107718,"Bekjendtgjørelser. At Magister artium. Ditlev Gothardt Monrad, under Dags Dato er sat under Action for Overtrædelse af Trykkefrihedslovgivningen med Hensyn til Jndholdet af et af ham udgivet Skrift, betitlet: flyvende politiske Blade, Nr. 2, det bekjendtgjøres herved i Overeensstemmelse med Forordn. 27de Septbr. 1799 8 18.",Bekjendtgjørelser,46,324,[1024],aal,predicted,unknown,,y
129296,aal_044209,1825-01-12,"[ 0.04818603  0.03666069 -0.03039876 ... -0.02119309 -0.05641185
  0.01513956]",1,Bekjendtgjørelser,53624,"Fredagen den 14de Januar om Aftenen Kl. 6 opføres til Benefice for Hr. Packness: Fostbrødrene, Sørgespili fem Acter af Oehlenschlager. Til Slutning: en Epilog. Billetterne faaes hos Hr. Packness, logerende hos Karethmagermester Hansen paa Klosterjorden.",Skuespil.,35,253,[1024],aal,predicted,unknown,,y
95739,aal_010648,1819-09-29,"[ 0.02757789  0.0190536  -0.02729054 ... -0.03187842 -0.03028944
  0.01016447]",1,Bekjendtgjørelser,12460,"Paa Addresse-Contoiret faaes: Bønnen som læses ved Ungdommens Confirmation, aftrykt paa fint Papiir og smukt indbunden 16 s.; paa Trykpapiir i couleurt Omslag, 8 s.; i blaat Omslag 6 s.",Bekiendtgiørelser.,30,185,[1024],aal,predicted,unknown,,y
92065,aal_006974,1819-03-15,"[ 0.0165223   0.00328843 -0.04336079 ... -0.00848845 -0.05203482
  0.00661371]",1,Bekjendtgjørelser,8196,"Da jeg har begyndt med at give Underviisning i Dands, saavel for Voxne som Børn, saa bekiendtgiøres saadant herved til behagelig Efterretning for dem, som endnu maatte ønske min Underviisning, med Tilføiende, at de vilde behage at melde sig hos Madame Helverschou paa Algaden ved Budolphi Kirke. Aalborg den 14de Marts 1819. Joh. Frid. Zangenberg, Musicus ved 2det J. J. Reg. og Lærer, i Dandsekonsten.",Bekiendtgiørelser.,65,402,[1024],aal,predicted,unknown,,y
106118,aal_021027,1821-06-14,"[ 0.02925943 -0.00793223 -0.01211188 ... -0.02040104 -0.02542293
 -0.00553727]",1,Bekjendtgjørelser,24994,Paa Steens Forlag er udkommet første Hefte af et periodisk Skrift: biographisk Lommebog.,Kiøbenhavn.,13,88,[1024],aal,predicted,y,,
96605,aal_011514,1819-11-15,"[ 0.00265626 -0.01964255 -0.04250492 ... -0.0054292  -0.03404342
  0.00926862]",1,Bekjendtgjørelser,13477,"Jtaliensk Nodepapir for Claveer og Fløite samt Fioliner 11 Rbmk. Bogen, Collefolium, Flolin Skruer, Stole, Dem pere, Clarinetblade, Guitar=Strænge, Fiolin dito, samt nye Musikalier m. m. Alt hvad som henhører til Musiksaget besørges og leveres til samme Priis som i Kiøbenhavn af Rottbøll Sadolin, Boghandler og Bogbinder.",Befordringer og Afgang.,47,322,[1024],aal,predicted,unknown,,y
129701,aal_044614,1825-02-02,"[ 0.02452221  0.02588013 -0.03236645 ... -0.03172474 -0.03539892
 -0.00953994]",1,Bekjendtgjørelser,54136,"Fredag Aften Kl. 6. Benefice for Hr. Skuespiller Müller: Eriminalprocessen, originalt Sørgespil i fem Acter af Balthaser Bang. Til Slutning en Epilog, der fremsiges af Mad. Müller.",Bekjendtgjørelser.,27,180,[1024],aal,predicted,unknown,,y
228614,aal_143685,1841-02-20,"[ 0.02431746 -0.00522101 -0.02936034 ... -0.02636365 -0.02415981
  0.01356588]",1,Bekjendtgjørelser,1841-02-20_115487,"Fuldstændigt Aftryk af den indbyrdes Underviisningsmethodes nye Tabeller, udgiven af Candidatuphillesophie S. Hertz i Veile, faaes for 12 s. hos D. S. Philipson, Bogbinder.",Bekjendtgjørelser,24,172,[1024],aal,predicted,unknown,,y
133395,aal_048308,1825-08-20,"[ 0.01412314  0.00063999 -0.00542084 ... -0.02200485 -0.04084751
  0.01965449]",1,Bekjendtgjørelser,58768,"Det 31te Hefte af Flora danica er udkommet, og uddeles fra det kongelige Haandbibliothek til dem, der ere berettigede til at erholde samme gratis.",Kjøbenhavn.,24,146,[1024],aal,predicted,unknown,,y
103360,aal_018269,1821-01-20,"[ 0.01602681 -0.00307641 -0.03583886 ... -0.03891737 -0.03543373
 -0.00872944]",1,Bekjendtgjørelser,21576,"Tirsdagen den 16de Januar forsvarte Stud. J. C. Hauch (en Søn af Herr Overhofmarskalken) sin for Doctorgraden skrevne Afhandling: Annotationes at motumarbitrarium, cum organis ad motum pertinentibus comparatum, in animalibus, vertebriis instructisRespondens er Hr. Cand. Philos. C. Lütken.",Kiøbenhavn.,38,289,[1024],aal,predicted,unknown,,y
111330,aal_026240,1822-04-06,"[ 0.00415312 -0.00683375 -0.05001273 ... -0.02637121 -0.06301294
 -0.00788771]",1,Bekjendtgjørelser,31359,"Danske Markblomster, Nytaarsgave for Skuespilyndere, 1822, af J. Wildt, faaes indbunden for 9 Mk. hos Vogelius.",Bekjendtgjørelser.,16,111,[1024],aal,predicted,unknown,,y
