,article_id,text
121054,aal_035967,"Undertegnede ønsker sig nogle flere Pigebørn i Haandarbeide og Tegning, om forlanges i Tydsk og Fransk. M. Starcke."
132985,aal_047898,"Stoltzer og Eidammer Oste, fransk Viinæddike, fint Riismeel, Lyneborger Salt, Punsch-Essents, god stærk Rum, friske Citroner, hamborger Hvedemeel, engelsk Fajance og bohmiske Glasvare m. m. m., faaes til billige Priser hos Rybsahm. Schous Udtog af Forordninger for 1824, heftet 72 s. faaes Rottbøll Sadolin, hos Boghandler og Bogbinder. Almanakker for Aaret 1826 a 100de 9 Rbd. 4 Mk., faaes hos Rottbøll Sadolin."
203150,aal_118167,"udgivet af J. Chr. Borch & A. p. Uers Enke. - Redigeret af Capitain v. Baderberg, Pd. af D."
217113,aal_132163,Udgiverne af denne Avis Hr. Borch og Rees Enke indføre stedse uden Betaling alle Anmeldelser og Bekjendtgjørelser Bibliotheket vedkommende.
92065,aal_006974,"Da jeg har begyndt med at give Underviisning i Dands, saavel for Voxne som Børn, saa bekiendtgiøres saadant herved til behagelig Efterretning for dem, som endnu maatte ønske min Underviisning, med Tilføiende, at de vilde behage at melde sig hos Madame Helverschou paa Algaden ved Budolphi Kirke. Aalborg den 14de Marts 1819. Joh. Frid. Zangenberg, Musicus ved 2det J. J. Reg. og Lærer, i Dandsekonsten."
106118,aal_021027,Paa Steens Forlag er udkommet første Hefte af et periodisk Skrift: biographisk Lommebog.
96605,aal_011514,"Jtaliensk Nodepapir for Claveer og Fløite samt Fioliner 11 Rbmk. Bogen, Collefolium, Flolin Skruer, Stole, Dem pere, Clarinetblade, Guitar=Strænge, Fiolin dito, samt nye Musikalier m. m. Alt hvad som henhører til Musiksaget besørges og leveres til samme Priis som i Kiøbenhavn af Rottbøll Sadolin, Boghandler og Bogbinder."
133395,aal_048308,"Det 31te Hefte af Flora danica er udkommet, og uddeles fra det kongelige Haandbibliothek til dem, der ere berettigede til at erholde samme gratis."
103360,aal_018269,"Tirsdagen den 16de Januar forsvarte Stud. J. C. Hauch (en Søn af Herr Overhofmarskalken) sin for Doctorgraden skrevne Afhandling: Annotationes at motumarbitrarium, cum organis ad motum pertinentibus comparatum, in animalibus, vertebriis instructisRespondens er Hr. Cand. Philos. C. Lütken."
196153,aal_111163,"Veiledning for begyndende eller mindre fremmelige Skoledisciple, saavel som en forbereden3de Underviisning for yngre Børn, der med Tiuden skulle indtræde i en lærd Skole, kan erholdes fra 1ste October af. Flere kunne forenesig om Timerne. - Det nærmere aftales med P. H. Colding. De befalede Skudsmaalsbøger af Soldenfelds faaes hos Rottbøll Sadolin."
207635,aal_122662,"J October begynder jeg Underviisningen saavel med de Elever, der ønskes forberedte til Optagelse i en lærd Skole, som med Disciple, der behøve privat Veiledning. P. H. Colding."
203307,aal_118324,"Udgivet af T. Chr. Borch & A. Ph. Uies Enke. - Redigeret af Capitain v. Søderberg, Rd. af D."
240081,aal_155171,"Om Realunderviisning. En Tale holdt den 18de Septbr. 1842 paa Sorø Academie af Prof. Hauch, 16 s., faaes i Bernh. Reels Boghandling. Den til den 5te November førstkommende, Formiddag Kl. 10, berammede Auction, over Christen Pedersens Enkes Gaard i Nørbek, med Eiendomme, samt Besætning og Løsøre, tilbagekaldes herved. Rinds Gislum Herreders Contoir i Hobro, den 30te October 18442. Jansen."
204009,aal_119029,"Udgivet af J. Chr. Borch A. A. Ph. Lies Enke. - Redigeret af Capitain v. Bøderberg, Pd. af D."
102006,aal_016915,"Et Værelse med Kakkelovn og Seng, kan strax erholdes til Leie, paa Vestergade No. 48. Kort Jordbeskrivelse især til Brug i Almueskolerne, ved R. Sadolin, Sognepræst, indb. 2 Mk., taaes hos Rottbøll Sadolin, Boghandler og Bogbinder."
221255,aal_136315,"Bekiendtgjörelser. Circulerende Læseselskab. Da jeg af endeel Herrer er bleven opfordret til, at oprette et circulerende Læseselskab her i Byen, har jeg besluttet, saafremt et tilstrækkeligt Antal Abonnenter tegne sig, at arrangere et Saadant, som fra Nytaar af vil træde i Virksomhed."
234502,aal_149584,"Kücken, Fr., 6 Wiener-Tange für das Efte. 72 s. Marsen, E., 6 Etuden für die linke Hand allein. Op. 40. 1 Rbd. Reissiger. C. G., le voyage, Rondo brillant pourle Pfte. Op. 88. 1 Rbd. 48 s. Hamburg, den 5ten Januar 1842. Schuberth & Co. Neue Musicalien für Violoncell."
155728,aal_070654,"Hvor 2de Skole=Disciple kan faae Kost og Logis, i et honet Huus, giver Stiftsbogtrykkeriet Underretning. Beboelse for 2 smaa Familier er at faae til Leie, næste Fløttette i Huset No. 152 i Urbansgade. 2de lyse Overværelser med øvrige Beqvemmeligheder er tilPaaske Fløttetid til Leie hos Funck i Jomfru Anegaden. Græsning til 1 a 200 Stude kan erholdes paa Restrup."
206915,aal_121941,"udgivet af J. Chr. Borch & A. ph. Lies Enke. - Redigeret af Capitain v. Bøderberg, Rd. af D."
131270,aal_046183,"Følgende faaes nu igjen hos Undertegnede, til nedsatte Priser: Pap af forskjellige No., at Bundten 21 Mk. - Stort Kardus=Papiir, 6 Rbd. 4 Mk. - Mindre dito, 5 Rbd. 4 Mk. Riiset. - Kattunpapiir 32 s. - 24 s. a Bogen. - Alle Sorter coulørte Papiir. Rottbøll Sadolin."
122794,aal_037707,"Og endelig vil det være mig behageligt, at denne min ofsentlige Anmeldelse ikke mistydes. P. D. Faber."
148713,aal_063633,"Blanketter til Beregning over Lønning m. v., faaes paa Stiftsbogtrykkeriet. ansaa anden ----- Lønningsbøger faaes paa Stiftsbogtrykkeriet. Et Par smukke Værelser, med tilser uden Meubler, Paa det over ere at faae til Leie i min Gaard. Hviinsang. sammes 3de m. Sk. ."
219233,aal_134290,"Billetter kunne erholdes hos Hr. KlokkerClaudi til 2 Mk. overalt i Kirken. Indgangen aabnes Kl. 4 og Begyndelsen skeer, Kl. 3. Texten til Sangene sælges hos Hr. Klokker Claudi samt ved Indgangen. Kirken lukkes ved Concertens Begyndelse. Muth Rasmussen."
192077,aal_107079,Bogen Practisk Landmaaler ville Subscribenterne i Omegnen af Hjørring behageligen afhente hos Cateche Müller.
130551,aal_045464,"H. H. Hr. Dr. Claudi ville forbinde Mange ved i Trykken at udgive sin Midfaste Søndag holdte Prædiken. Søndagen den 20de om Aftenen, vil Undertegnede have den Ære at give Forestillinger, der nærmere ved trykte Placater skal blive bekjendtgjort. Skuepladsen er i Ridehuset paa Nyetorv. Billetter til første Plads a 2 Mk. og anden Plads a 3 Mk., faaes i vort Logis hos Hr. Seilmager Fibech i Marenturisgade, samt om Aftenen ved Indgangen, der aabnes Kl. 6, Begyndelsen skeer Kl. 7. Kuhn & Ziescheck."
752389,aar_067445,"Laaneren af en Almanak for Selskabstheatre 1818 udgiven af N. T. Bruun, saavel det Exemplat de hører til Polybymnias Theaterbibliothek, som H. Elmquists Læseselskab, ombedes saasnart mueligt i tilbagelevere samme til Adressekontoiret. Hos undertegnede er tvende Værelser til Leie til første Paaske Flyttetid, sammesteds er Haugefrøe i bekomme i Klostergaden hos Laurs Gjedvad"
694749,aar_009743,"Da min salig Mand har udlaant de to første Deelaf Fogtmands kongelige Reskripter, Resolutioner a. og jeg veed ikke til hvem, beder jeg herved den, som har faaet dem, at levere mig dem, da det ellers vil blive mig til stor Skade da Værket er defelt. B. C. sal. Bruus."
