,article_id,original_title,author
0,lol_014061,no_book,no_book
1,ode_146033,nye kogebog,c. jacobsen
2,lol_016459,nye kogebog,c. jacobsen
3,ode_065980,"dannevang, dansk folkesang",bay
4,ode_017303,no_book,no_book
5,aal_071335,formynder,no_author
6,aar_044400,en bondes levnetsbeskrivelse,peder knudsen ruus
7,thi_001221,slaget ved waterloo,no_author
8,thi_030191,maria de carmo,no_author
9,thi_030191,fjorten dage i jylland,no_author
10,aar_115688,veddemaalet,no_author
11,thi_030191,abeilard og helvise,no_author
12,aar_079231,kapelmesteren af venedig,no_author
13,thi_018737,anmærkninger til sportel=reglementet af 22de marts 1814,joh. s. lund
14,aar_086599,badens alphabetisk ordbog over fremmede ord,no_author
15,ode_103405,udlæggelse af spørgsmaalsstykkerne i luthers lille katechismo,carl gottlob hoffmann
16,vib_097062,birchs bibelhistorier,no_author
17,vib_042852,no_book,no_book
18,ode_059445,weltgeschicht;,k. r. thoring
19,thi_001221,the border antiquities of england,no_author
20,thi_011901,don quixote,no_author
21,aal_071335,den fortredelige formiddag,no_author
22,vib_106659,p. virgilii maronis operd,n. f. dorph
23,ode_046358,den danske militaire criminairets grundsætninger,no_author
24,vib_058605,hornemanns danske ockonomiske plantelære,no_author
25,aal_018269,"annotationes at motumarbitrarium, cum organis ad motum pertinentibus comparatum, in animalibus, vertebriis instructis",j. c. hauch
26,vib_006494,kort fremstillelse af landommer hoffs virkekekreds i danmark,s. w. giern
27,thi_001221,no_book,no_book
28,vib_024663,danske og norske privat=retførste grunde,no_author
29,aar_033921,lov og rets tabel for danske bønder,no_author
30,thi_009424,tritagenia,no_author
31,ode_124531,bidrag til tidshistorien,wiborg
32,vib_117684,regnskab over aalborg kjøbstads fattigvæsen,no_author
33,aal_047898,forordninger for 1824,rottbøll sadolin
34,aal_119832,øs. aragos tale,no_author
35,thi_053031,"anke mod præster, sogneforstanderskaber og sognefogder",c. grabert
36,ode_151047,et par ord,ove høegh guldberg
37,aar_180742,haandlexicon,professor borring
38,lol_030782,alfsol,p. d. faber
39,ode_193405,steffens volks=kalender fiir 1848,no_author
40,lol_015987,a. b. c. bog,rasmussen
41,thi_008913,"min talisman, en skjerv til bombebøssen",j. a. kragh
42,aal_027857,fanegyricus c. mori,lipa
43,aal_050317,praktikens provesteen for den sande land=oeconomie,j.c. steen
44,thi_000956,lettres et memoires,pollnitz
45,ode_103405,yttringer og fædrelandets forsvarsvæsen,p. worm
46,ode_017303,reinhardts system i den fristelige moral,no_author
47,aal_071335,søyltegjæsten,no_author
48,aal_051440,justs haandbog for den læsende ungdom,no_author
49,vib_062282,salmebøger,no_author
50,thi_001221,breve til hans beslægtede,no_author
51,aar_079231,"landsbyeskolemesteren, eller den nye læremethode",no_author
52,aal_047898,almanakker for aaret 1826,rottbøll sadolin
53,thi_001221,røde no. bin,no_author
54,vib_055708,matamorphos,no_author
55,thi_026098,kingos psalmebøger,no_author
56,aal_027857,jllade 3die og 4de sang,meisling og petersen
57,thi_002104,den lille gjættemester,no_author
58,ode_151047,tidsskrift for almueskolevæsenet,no_author
59,aal_028045,skrifter,ludvig holberg
60,thi_047260,no_book,no_book
61,aar_166944,meyers universum,a.f. elmquist
62,thi_037124,no_book,no_book
63,ode_139072,no_book,no_book
64,aal_036426,"aonius palearius, en sandhedens martyr",no_author
65,ode_030449,tvende prædikener,dr. og stiftsprovst tetens
66,thi_024289,wilstrups anden læsebog,no_author
67,aal_036426,om den hellige skrift,no_author
68,thi_029970,wilstrups læsebog for almueskoler,no_author
69,lol_061230,prindsesse-budding,no_author
70,aar_067445,almanak for selskabstheatre,n. t. bruun
71,thi_020926,"portefeuille for zeichner, kunsersticher, bildhauer, barmester und kunstfreunde",no_author
72,aal_071335,myndling,no_author
73,thi_023619,justes haandbog,no_author
74,aal_082394,almanaker for 1831,rottbøll sadolin
75,aar_057700,no_book,a. f. elmquist
76,thi_022146,no_book,joh. g. lund
77,lol_063958,mandix's danske landvæsensret,no_author
78,ode_104901,love og bestemmelser for væddeløbene i fyens stift 1832,no_author
79,lol_020691,lærebog i den evangelisk-christelige religion,j.c. larsen
80,thi_006494,beskrivelse af monumentet over kong hans og dronning christiane,werlauff
81,thi_032255,no_book,no_book
82,vib_056813,almeenfattelig forklaring over klasselotteriets nuværende indretning,bjørn
83,aal_037707,no_book,p. d. faber
84,ode_065980,jensens variationer for fløite,no_author
85,aal_122662,no_book,p. h. colding
86,thi_030191,maria,no_author
87,thi_006874,no_book,no_book
88,vib_062282,min haandbog for læsende ungdom,no_author
89,lol_063958,nørregaards naturret og forelæsninger,no_author
90,thi_020743,"en ny krigs-arie, angaaende forfatterens reise i militairstand i aarene 1813 og 1814",christen philipsen
91,aar_033921,heste og qvæglæge tabel,no_author
92,aal_143320,rhinsang,niklas becker
93,vib_052193,nytaarsønsker,no_author
94,vib_149456,aarsberetningen om det kongl. landhuusholdningsselskabs forhandlinger,no_author
95,ode_017303,begtrups beskrivelse over agerdyrkningen i danmark,no_author
96,lol_002560,no_book,c. f. schultz
97,ode_065980,dandse,gerlach
98,ode_054497,familien v. heidenforsth,no_author
99,vib_062282,almanakker for 1822,no_author
100,thi_030937,"fuldstændig dansk huusret, for hvermand",høst
101,thi_008913,"leire=konningen friedlief, frode hiin fredegodes. søn",m. lindhard
