,original_title,translated_title,author,article_id,date,text
0,De Franskes Keiser Napoleons Levnet,The Life of the French Emperor Napoleon,J. Krag Høst,lol_004527,1810-11-20,"Paa Addresse-Contoiret i Mariboe kan bekommes Tilkjøbs: De Franskes Keiser Napoleons Levnet, ved J. Krag Høst. 1ste Deel. Kbh. 1810. 1 Rd. 1 Mk. 2 s."
1,Haandbog for læsende Ungdom,Handbook for Reading Youth,A. F. Just,vib_026969,1815-06-26,"At det nylig udkomne 6te Oplag af min Haandbog for læsende Ungdom koster i Materie netto 64 Rbs. og ikke anderledes herfra udleveres heller ikke gives i Commission, undlader jeg ikke herved at underrette mine Venner og Correspondentere om. A. F. Just."
2,"Kapitels-Taxterne fra 1660 til Nu, og Middeltal at 10 Aar, fra 1810 til 1819 inclusive","Chapter Taxes from 1660 to Now, and Averages for 10 Years, from 1810 to 1819 inclusive",Johanne Jacob,ode_050712,1820-02-15,"Johanne Jacob. Hennenberg sal. Löbet, Kapitels-Taxterne fra 1660 til Nu, og Middeltal at 10 Aar, fra 1810 til 1819 inclusive, faaes for 2 Mk. hos L. N. Faber."
3,"Hamborger Magasin, eller samlede Skrif","Hamburg Magazine, or Collected Writings",NO_AUTHOR,aar_002754,1795-04-15,"Hamborger Magasin, eller samlede Skrif. R. tertil underretning og Fornøyelse for Naturforskere og angenemme Videnskaber, et Verk af 26 Tomer, vel Conditioneret; kan faaes tilkjøbs for billig Priis hos P. Willadsen i Aarhuus."
4,Dyder og Udyder i Exempler af Bibelen,Virtues and Vices in Examples from the Bible,H. Bjerregaard,vib_051375,1819-11-03,"October 1819. Just Christensen. Litteratur. Dyder og Udyder i Exempler af Bibelen, med hosføiede udvalgte Sprog af samme, som og forklarende Jndledninger til enhver Dyd og Udyd, saavelsom til de bibelske Historier. Af H. Bjerregaard Sognepræst til Hjermind, Lee og Hjorthede Menigheder i Viborg Stift. 1ste Deel 904 Sider."
5,Regne Tabeller for Begyndere,Arithmetic Tables for Beginners,A. F. Just,vib_048078,1819-04-07,"Viborg, den 6te Marts 1819. Peder Brøndum. Fra Pressen er udkommen: Regne Tabeller for Begyndere, (1 Ark) heftet i Stift og faaes paa Bogladerne og hos undertegnede Forlægger, Stykket for 12 s. A. F. Just."
6,Leths Huuspostil,Leth's House Postil,NO_AUTHOR,ode_190587,1847-06-15,"AVERTISSEMENTS. Leths Huuspostil, denne ypperlige Bog, som overalt har vunden saameget bifald, er nu 2det Oplag udkommet complet. Den faaes for 3 Rbd. 3 Mk. smukt indb. i alle Boglader i Danmark og Norge, og i Odense hos Forlæggeren den Hempelske Boghandel. Nylig er udkommet og faaes i den Hempelske Boglade; Tidsskrift for Landoeconomie, udgivet af J. C. Hald, Secretair i det Kongelige Landhuusholdnings Selskab, 9de Binds 1ste Hefte. 4 Mk. Subskription paa Fortsættelsen modtages."
7,Tidsskrift for Landoeconomie,Journal for Land Economy,J.C. Hald,ode_190587,1847-06-15,"AVERTISSEMENTS. Leths Huuspostil, denne ypperlige Bog, som overalt har vunden saameget bifald, er nu 2det Oplag udkommet complet. Den faaes for 3 Rbd. 3 Mk. smukt indb. i alle Boglader i Danmark og Norge, og i Odense hos Forlæggeren den Hempelske Boghandel. Nylig er udkommet og faaes i den Hempelske Boglade; Tidsskrift for Landoeconomie, udgivet af J. C. Hald, Secretair i det Kongelige Landhuusholdnings Selskab, 9de Binds 1ste Hefte. 4 Mk. Subskription paa Fortsættelsen modtages."
8,Forsøg til en kristelig Bornelærdom,Attempt at a Christian Children's Education,N. Blicher,aar_028097,1804-05-23,"Her paa Adresse=Contoiret faaes tilkiøbs: Forsøg til en kristelig Bornelærdom, af N. Blicher, Præst i Randlev, andet og omarbeidet Udgave, for 3 s. i taae Materie, heftet 5 s. Blichers Visdoms og Drds Tabel = 3 s. Lov og Rets Tabel for Danske Bønder 3 s. . Heste og Qvæglæge Tabel . . 3 s. NB. J Bog= eller Halvhundredviis faaes Stykkefor 2"
9,Blichers Visdoms og Drds Tabel,Blicher's Table of Wisdom and Death,N. Blicher,aar_028097,1804-05-23,"Her paa Adresse=Contoiret faaes tilkiøbs: Forsøg til en kristelig Bornelærdom, af N. Blicher, Præst i Randlev, andet og omarbeidet Udgave, for 3 s. i taae Materie, heftet 5 s. Blichers Visdoms og Drds Tabel = 3 s. Lov og Rets Tabel for Danske Bønder 3 s. . Heste og Qvæglæge Tabel . . 3 s. NB. J Bog= eller Halvhundredviis faaes Stykkefor 2"
