,original_title,translated_title,author,article_id,date,text
0,De Franskes Keiser Napoleons Levnet,The Life of the French Emperor Napoleon,J. Krag Høst,lol_004527,1810-11-20,"Paa Addresse-Contoiret i Mariboe kan bekommes Tilkjøbs: De Franskes Keiser Napoleons Levnet, ved J. Krag Høst. 1ste Deel. Kbh. 1810. 1 Rd. 1 Mk. 2 s."
1,Haandbog for læsende Ungdom,Handbook for Reading Youth,A. F. Just,vib_026969,1815-06-26,"At det nylig udkomne 6te Oplag af min Haandbog for læsende Ungdom koster i Materie netto 64 Rbs. og ikke anderledes herfra udleveres heller ikke gives i Commission, undlader jeg ikke herved at underrette mine Venner og Correspondentere om. A. F. Just."
2,"Geistlig Stat, eller Fortegnelse over de Candidater, som have underkastet sig den theologiske Embeds-Exammen ved Kjøbenhavns Universitet efter 7de Mai 1788, med Vedtegninger","Spiritual State, or List of the Candidates who have Submitted to the Theological Exam at the University of Copenhagen after May 7, 1788, with Appendices",NO_AUTHOR,lol_060779,1830-04-09,"Følgende nylig udkomne Bøger faaes hos Giegengacki Mariebo: Geistlig Stat, eller Fortegnelse over de Candidater, som have underkastet sig den theologiske Embeds-Exammen ved Kjøbenhavns Universitet efter 7de Mai 1788, med Vedtegninger."
3,"Löbet, Kapitels-Taxterne fra 1660 til Nu, og Middeltal at 10 Aar, fra 1810 til 1819 inclusive","The Run, Chapter Taxes from 1660 to Now, and Averages for 10 Years, from 1810 to 1819 inclusive",Johanne Jacob,ode_050712,1820-02-15,"Johanne Jacob. Hennenberg sal. Löbet, Kapitels-Taxterne fra 1660 til Nu, og Middeltal at 10 Aar, fra 1810 til 1819 inclusive, faaes for 2 Mk. hos L. N. Faber."
4,Skrift om det Veirlig,Treatise on the Weather,Dittmar,aal_014064,1820-04-26,"Prof. Dittmar har atter udgivet et Skrift om det Veirlig, som kan ventes i Sommerhalvaaret 1820, fra Foraarets Begyndelse indtil Enden af October, 160 Sider i 800."
5,"Hamborger Magasin, eller samlede Skrif. R. tertil underretning og Fornøyelse for Naturforskere og angenemme Videnskaber","Hamburg Magazine, or Collected Writings. R. Third Part for Information and Enjoyment for Natural Scientists and Pleasant Sciences",NO_AUTHOR,aar_002754,1795-04-15,"Hamborger Magasin, eller samlede Skrif. R. tertil underretning og Fornøyelse for Naturforskere og angenemme Videnskaber, et Verk af 26 Tomer, vel Conditioneret; kan faaes tilkjøbs for billig Priis hos P. Willadsen i Aarhuus."
6,Saent Jacobs Aften,Late Jacob's Evening,NO_AUTHOR,aal_077047,1830-04-24,"Jndhold: 1) Blandede Sager: a) Vensysselske Veibemærkninger i Paaskeugen; b) Brev fra Læsøe til Udgiveren: e) Sendebrev til Damerne i Aalborg; b) Kudskeuforsigtighed; e) Kudskehøflighed; f) Skal vi ikke sætte ham i Jagttageren i g) Gadepassagen; b) Notice fra Skagen. - 2) Saent Jacobs Aften (fortsat) - 3) Misceller og Anecdoter. C. F. Severin. Et lille smukt Schatol eller en Secretær, ønskes tilkjøbs. Stiftsbogtrykkeriet anviser. At jeg er flyttet fra Bredegade og nu boer i store Nyegade, det har jeg herved den Ære at bekjendtgjøre for mine ærede Kunder. Aalborg, den 23de April 1830. Peter A. Moht, Skomagermester."
7,Bolster og Dynevaar,Bolsters and Duvets,M. N. Samson,vib_167943,1842-08-18,J. Et Parti gode hjemmegjorte Bolster og Dynevaar er i Dag arriveret og sælges billigst muligt af M. N. Samson.
8,"Dyder og Udyder i Exempler af Bibelen, med hosføiede udvalgte Sprog af samme, som og forklarende Jndledninger til enhver Dyd og Udyd, saavelsom til de bibelske Historier","Virtues and Vices in Examples from the Bible, with Selected Languages of the Same, as well as Explanatory Introductions to Every Virtue and Vice, as well as to the Biblical Stories",H. Bjerregaard,vib_051375,1819-11-03,"October 1819. Just Christensen. Litteratur. Dyder og Udyder i Exempler af Bibelen, med hosføiede udvalgte Sprog af samme, som og forklarende Jndledninger til enhver Dyd og Udyd, saavelsom til de bibelske Historier. Af H. Bjerregaard Sognepræst til Hjermind, Lee og Hjorthede Menigheder i Viborg Stift. 1ste Deel 904 Sider."
9,Regne Tabeller for Begyndere,Arithmetic Tables for Beginners,A. F. Just,vib_048078,1819-04-07,"Viborg, den 6te Marts 1819. Peder Brøndum. Fra Pressen er udkommen: Regne Tabeller for Begyndere, (1 Ark) heftet i Stift og faaes paa Bogladerne og hos undertegnede Forlægger, Stykket for 12 s. A. F. Just."
