,article_id,date,embedding,n_chunks_orig,clean_category,nøgle,text,category,article_length,characters,embedding_shape,newspaper,label_type,book_announce,comment,predicted_book_announce
37,lol_000038,1809-03-07,"[ 0.03518467  0.00932873 -0.0178937  ... -0.02462796 -0.04310805
 -0.00955417]",1,Bekjendtgjørelser,1809-03-07_52,"Paa Addresse-Contoiret i Mariboe bekommes følgende Bøger tilkjøbs: Geographie for Ungdommen, efter Fabris og Gasparis nyeste Jordbeskrivelse. Giennemseet af J. Kjerulf. Andet Oplag. Kbh. 1805, 1 Rd. 5 Mk. 8 s. nidb. Poesier af J. Smith, 1ste Bind. Kbhavn 1807. 1 Rd. 1 Mk. indb. Peder Greve af Griffenfeldts Fortjenester. af Kongehuus og Fædreneland, som Oversecretair og Rigsranzler under Dannekongerne Frid, den 3die og Chr. den 5te ved G. L. Baden. Kbh. 1808. 5 Mk. uindb.",Bekiendtgiørelser,76,475,[1024],lol,gold,unknown,,y
108,lol_000109,1809-03-17,"[ 0.02211799  0.00355701 -0.02588731 ... -0.00690825 -0.03720115
  0.00931361]",1,Bekjendtgjørelser,1809-03-17_174,"Maskeradeballet i Dannemark 1808. Et Syn af N. F. S. Grundtvig, Kbh. 1808, 12 s. indb. Geographie for Ungdommen, efter Fabris og Gasparis nyeste Jordbeskrivelse. Gjennemseet af J. Kjerulf. Andet Oplag. Kbh. 1805, 1 Rd. 5 Mk. 8 s. nidb. Poester af J. Smith, 1ste Bind. Kbhavn 1807. 1 Rd. 1 Mk. indb. Peder Greve af Griffenfeldts Fortjenester. af Kongehuus og Fædreneland, som Oversecretair og Rigscanzler under Dannekongerne Frid, den 3die og Chr. den 5te ved G. L. Baden. Kbh. 1808, 5 Mk. uindb.",Bekiendtgiørelser,84,495,[1024],lol,gold,unknown,,y
188,lol_000189,1809-03-28,"[ 0.04022709  0.02202421 -0.01741452 ... -0.01367059 -0.03673298
  0.02295267]",1,Bekjendtgjørelser,1809-03-28_306,"Maskeradeballet i Dannemark 1808. Et Syn af N. F. S. Grundtvig Kbh. 1808, 12 s. indh. Poesier af J. Smith, 1ste Bind. Kbhavn 1807. 1 Rd. 1 Mk. indb.",Bekiendtgiørelser,29,148,[1024],lol,gold,unknown,,y
328,lol_000330,1809-04-18,"[ 0.02150071  0.00016588 -0.00461735 ... -0.022811   -0.03386886
  0.01400203]",1,Bekjendtgjørelser,1809-04-18_554,"Alle Slags Bogbinder-Arbeide, saavel nyt, som gl. Bøgers Jndbindning med videre Bogbinder-Arbeide; f. Ex. Futteraler og deslige, kan erholdes paa bedste Maade og for billig Priis hos Bogbindermester Elgstrøm, boende i Mariboe, der paa bedskeMaade beder sig recommenderet hos samtlige Herskaber og hos Enhver, der vil forunde ham sit Arbeide.",Bekiendtgiørelser,50,341,[1024],lol,gold,unknown,,y
470,lol_000476,1809-05-09,"[ 0.0191186   0.00117065 -0.01776858 ... -0.03569395 -0.04239655
 -0.00541165]",1,Bekjendtgjørelser,1809-05-09_826,"Paa Addresse-Contoiret i Mariboe er pr. Commission til Salg et nitid Exemplar af Pragt-Udgaven af Niels Klims underjordiske Reise ved L. Holberg. Oversat efter den lanske Original af Jens Baggesen Kbh. 1789, m. sine Kobb. Prisen er 4 Rd. D. C. Hr. Lientenant K. H. Seidelins Opfordring til Lollands og Falsters Jndbyggere, at tilberede raae Salpeter, med Prosessor Maschmanns Underretning om Salpeters Tilvirkning, kan paa Addresse-Contoiret. i Mariboe bekommes gratis.",Bekiendtgiørelser,70,469,[1024],lol,gold,unknown,,y
521,lol_000527,1809-05-16,"[ 0.02590734  0.00991445 -0.01793128 ... -0.02870733 -0.0443689
 -0.00912915]",1,Bekjendtgjørelser,1809-05-16_914,"Paa Mariboe Adresse-Contoir kan følgende Bøger bekommes tilkjøbs. Peder Greve af Griffenfeldts Fortjenester. af Kongehuus og Fædreneland, som Oversecretair og Rigscanzler under Dannekongerne Frid, den 3die og Chr. den 5te ved G. L. Baden. Kbh. 1808, 5 Mk. uindb. Geographie for Ungdommen, efter Fabris og Gasparis nyeste Jordbeskrivelse. Giennemseet af J. Kjerulf. Andet Oplag. Kbh. 1805, 1 Rd. 5 Mk. 9 s. indb.",Bekiendtgiørelser,63,411,[1024],lol,gold,unknown,,y
627,lol_000633,1809-06-02,"[ 0.03600175  0.01278032 -0.02665389 ... -0.02508113 -0.05473148
  0.00937975]",1,Bekjendtgjørelser,1809-06-02_1114,Douceur. Prom. Nyested den 30 Mai 1809. Paa Mariboe Adresse-Contoir kan følgende Bøger bekommes tilkjøbs. Maskeradeballet i Dannemark 1808. Et Syn af N. F. S. Grundtvig. Kbh. 12 s. indb.,Bekiendtgiørelser,30,186,[1024],lol,gold,unknown,,y
628,lol_000634,1809-06-02,"[ 0.01218737 -0.00362607 -0.03748143 ... -0.014648   -0.03838608
 -0.00681403]",1,Bekjendtgjørelser,1809-06-02_1116,"Geographie for Ungdommen, efter Fabris og Gasparis nyeste Jordbeskrivelse. Giennemseet af JKjerulf. Andet Oplag. Kbh. 1805, 1 Rd. 5 Mk. 9 s. indb.",Bekiendtgiørelser,23,146,[1024],lol,gold,unknown,,y
826,lol_000832,1809-07-04,"[ 0.0300874   0.00613931 -0.03178794 ... -0.03917435 -0.06387383
 -0.01600775]",1,Bekjendtgjørelser,1809-07-04_1511,"Ve, som have modtaget Bøger tillaans af minafdøde Mand, Sognepræst i Natskov, Hr. J. B. Obel, og er endnu tilbageleveret samme, anmodes om, uopholdelig at tilstille mig de laante Bøger. Nakskov, den 29de Juni 1809. A. C. sal. Obels.",Bekiendtgiørelser,39,232,[1024],lol,gold,unknown,,y
832,lol_000838,1809-07-04,"[ 0.00722226  0.00938331 -0.03049758 ... -0.02402228 -0.01908297
 -0.01354457]",1,Bekjendtgjørelser,1809-07-04_1518,"Peder Greve af Griffenfeldts Fortjenesteraf Kongehuus og Fædreneland, som Oversecretair og Rigscanzler under Dannekongerne, Frid, den 3die og Chr. den 5te ved G. L. Baden. Kbh. 1808, 5 Mk. uind.",Bekiendtgiørelser,30,194,[1024],lol,gold,unknown,,y
